#{"t_start": 1730342556.42398, "env_id": "None"}
r,l,t
-1.0,1,0.002142
-1.0,1,0.00264
25.0,1,0.003127
-1.0,1,0.003544
-1.0,1,0.003935
-1.0,1,0.004345
-1.0,1,0.00473
-1.0,1,0.005237
25.0,1,0.005667
-1.0,1,0.00607
-1.0,1,0.006461
-1.0,1,0.006856
-1.0,1,0.007256
-1.0,1,0.007638
25.0,1,0.00806
-1.0,1,0.008461
25.0,1,0.008858
-1.0,1,0.009289
-1.0,1,0.009689
-1.0,1,0.010067
-1.0,1,0.010469
-1.0,1,0.010861
25.0,1,0.011277
-1.0,1,0.01166
-1.0,1,0.012033
-1.0,1,0.012426
25.0,1,0.012817
25.0,1,0.013259
-1.0,1,0.013639
-1.0,1,0.014019
-1.0,1,0.01441
25.0,1,0.014818
-1.0,1,0.015186
-1.0,1,0.015594
-1.0,1,0.015967
-1.0,1,0.016346
-1.0,1,0.016726
-1.0,1,0.017129
25.0,1,0.017551
-1.0,1,0.017927
25.0,1,0.018319
24.0,2,0.01887
-1.0,1,0.01928
25.0,1,0.019745
-1.0,1,0.020117
25.0,1,0.020526
-1.0,1,0.020901
-1.0,1,0.021299
-1.0,1,0.021691
-1.0,1,0.022064
-1.0,1,0.022432
-1.0,1,0.022842
-1.0,1,0.023213
25.0,1,0.02364
-1.0,1,0.024021
-1.0,1,0.024385
-1.0,1,0.024779
-1.0,1,0.025187
-1.0,1,0.025558
-1.0,1,0.025951
-1.0,1,0.026322
-1.0,1,0.026872
-1.0,1,0.027255
-1.0,1,0.027633
-1.0,1,0.028027
-1.0,1,0.028435
-1.0,1,0.02883
-1.0,1,0.029235
25.0,1,0.02963
-1.0,1,0.030021
25.0,1,0.030408
-1.0,1,0.030806
25.0,1,0.031204
-1.0,1,0.031569
-1.0,1,0.032
25.0,1,0.032468
-1.0,1,0.032889
25.0,1,0.033351
25.0,1,0.03376
-1.0,1,0.034163
-1.0,1,0.034555
-1.0,1,0.034954
25.0,1,0.035361
-1.0,1,0.035736
25.0,1,0.036157
-1.0,1,0.036535
-1.0,1,0.036916
-1.0,1,0.037344
25.0,1,0.037745
-1.0,1,0.038138
-1.0,1,0.038523
25.0,1,0.038922
-1.0,1,0.039321
25.0,1,0.039777
-1.0,1,0.040215
25.0,1,0.040641
25.0,1,0.041096
-1.0,1,0.04149
-1.0,1,0.04187
25.0,1,0.042288
